Offer Name,Title,Description,Type,Code,Offer Page  ( Ctrl C to copy ),start_date(m/d/Year),Expiry,Coupon_featured,Tracking Extra parameter
Zivame,Lingerie under Rs 499,"Lingerie under Rs.499 only at Zivame. Limited period offers, So Hurry Now!!",Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=409&aff_id=3094&url_id=6618,7/10/2015,10/31/2015,37,aff_sub
Jabong,BUY1 GET 2 FREE OVER MULTIPLE STYLES,BUY1 GET 2 FREE OVER MULTIPLE STYLES on various accessory and much more at Jabong. No coupon codes required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=2&aff_id=3094&url_id=5386,6/4/2015,6/30/2016,38,aff_sub
Jabong,Upto 70% off on Sportswear,"Minimum 30% and Upto 70% off on Sportswear like T-Shirts, Sport Shoes, Shorts and Sneakers for men and women at Jabong. Valid till stocks last.",Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=2&aff_id=3094&url_id=5258,6/1/2015,6/30/2016,39,aff_sub
Jabong,New Arrivals: Burton Menswear London,New Arrivals: Burton Menswear London at Jabong. Upto 40% off. Hurry up!! Shop Now!! No coupon code required. Valid till Stocks last.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=2&aff_id=3094&url_id=5160,5/25/2015,5/31/2016,40,aff_sub
Zivame,Upto 60% Off on Apparels,"Its a great day to stock up, get 60% Off on Apparels like - Bra, Panty, Nightwear, Shapewear and much more only at Zivame. Hurry!! Valid till stocks last.",Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=409&aff_id=3094&url_id=5164,5/25/2015,5/31/2016,41,aff_sub
Jabong,Upto 40% off on Titan Products,Upto 40% off on Titan Products at jabong. Click to see the deal on the landing page. Hurry up!!!!! Valid Till Stock Lasts. No coupon codes required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=2&aff_id=3094&url_id=2265,9/15/2014,5/31/2016,42,aff_sub
Jabong,Upto 50% off on Biba Products,Upto 50% off on Biba Products at jabong. No coupon code is required for this deal. Click to see the deal on the landing page. Hurry up!!!!! Shop Now!!! Limited period offer.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=2&aff_id=3094&url_id=2263,9/15/2014,5/31/2016,43,aff_sub
Jabong,Flat 40% off on UCB Products,Flat 40% off on United Colors of Benetton at jabong. Shop Now!!!! Offer valid ONLY on products listed on the landing page. No coupon code required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=2&aff_id=3094&url_id=2259,9/15/2014,5/31/2016,44,aff_sub
Jabong,Flat 50% off on Over 4000  Products,Flat 50% off on Over 4000  Products at jabong. Click to see the deal on the landing page. Valid Till Stock Lasts. Shop Now!!!! No coupon code required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=2&aff_id=3094&url_id=2257,11/12/2014,5/31/2016,45,aff_sub
Jabong,Flat 30% off Women Shoes,Flat 30% off Women Shoes at jabong. No coupon code is required for this deal. Click to see the deal on the landing page. Hurry up!!!!! Shop Now!!! Limited period offer.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=2&aff_id=3094&url_id=2019,4/19/2015,5/31/2016,46,aff_sub
Jabong,Women Apparels & Footwear Below Rs. 499,Women Apparels & Footwear under Rs. 499 at jabong.com. Offer valid on over 2000 products displayed on the landing page. Limited period offer. Shop Now!!!! No coupon code required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=2&aff_id=3094&url_id=197,4/29/2015,5/31/2016,47,aff_sub
Zivame,All Under Rs. 500 @ Zivame,All Under Rs. 500 at zivame. CLICK TO VIEW the offer on the landing page. Hurry up!!!!! Limited period offer. No coupon codes required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=409&aff_id=3094&url_id=1405,4/9/2015,5/31/2016,48,aff_sub
Zivame,Eoss - Upto 60% off on Lingerie,Eoss - Upto 60% off on Lingerie at zivame. Click to see the deal on the landing page. Hurry up!!!!! Limited period offer.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=409&aff_id=3094&url_id=2992,4/23/2015,5/31/2016,49,aff_sub
Food Panda,Upto 50% off on Your Favorite Restaurants,Foodpanda Friday Offer: Power Play Deals - Upto 50% off on Your Favorite Restaurants at foodpanda. *Valid Only in Mumbai. Click to see the deal on the landing page. No coupon code required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=62&aff_id=3094&url_id=895,9/18/2014,5/31/2016,50,aff_sub
Flipkart,Laptop Skins Below Rs. 99,"Laptop Skins Below Rs. 99 only at Flipkart. Offer Valid till stocks last. So dont wait, Grab it. Hurry!!",Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=309&aff_id=3094&url_id=5986,6/18/2015,6/30/2016,51,aff_sub
Flipkart,"Micromax Nitro A311: EXTRA Rs.1,000 OFF","Micromax Nitro A311: EXTRA Rs.1,000 OFF only at Flipkart. Valid till stocks last. Hurry!!",Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=309&aff_id=3094&url_id=5346,6/3/2015,6/30/2016,52,aff_sub
Flipkart,"Moto G (2nd Gen.) @ Rs.10,999","Moto G (2nd Gen.) @ Rs.10,999 at Flipkart. Valid till stocks last. Hurry!!",Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=309&aff_id=3094&url_id=5126,6/3/2015,6/30/2016,53,aff_sub
Flipkart,Moto E: Exchange upto Rs. 1000,Moto E - Exchange upto Rs. 1000 at Flipkart. Valid till stocks last.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=309&aff_id=3094&url_id=639,6/3/2015,6/30/2016,54,aff_sub
Flipkart,Launching Philips Hair Straightener: @ only Rs. 999,Launching Philips Hair Straightener: @ only Rs. 999 at Flipkart. Offer Valid till stocks last.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=309&aff_id=3094&url_id=5344,6/3/2015,6/30/2016,55,aff_sub
Flipkart,Bean Bag: Upto 50% Off,Upto 50% off on Bean Bags at flipkart. Click to see the deal on the landing page. Hurry up!!!!! Valid Till Stock Lasts. No coupon codes required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=309&aff_id=3094&url_id=5150,5/25/2015,5/31/2016,56,aff_sub
Flipkart,"Mega Offers on Apparel, Accessories","Mega Offers on Apparel, Accessories: Upto 70% off on select clothes, footwear, watches & fashion accessories at flipkart.com. CLICK TO VIEW product categories under this offer. No coupon code required.",Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=309&aff_id=3094&url_id=781,5/12/2015,5/31/2016,57,aff_sub
Flipkart,Upto 60% off Kids Footwear,Upto 60% off Kids Footwear at flipkart. Click to see the deal on the landing page. Hurry up!!!!! No coupon codes required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=309&aff_id=3094&url_id=4916,5/7/2015,5/31/2016,58,aff_sub
Flipkart,Upto 70% off on Men's Sunglasses,Upto 70% off on Men's Sunglasses at Flipkart. Hurry up!!!!! Limited period offer. No promo codes required.,Promotion,,http://tracking.icubeswire.com/aff_c?offer_id=309&aff_id=3094&url_id=305,4/22/2015,5/31/2016,59,aff_sub
